unit,isced11,indic_wb,sex,age,time\geo	EU 	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	RS 	TR 
RTG,TOTAL,OTHTST,T,Y65-74,2013	5.9 	5.9 	5.9 	4.1 	5.1 	8.4 	5.9 	5.8 	6.7 	5.1 	6.3 	5.1 	4.9 	5.6 	4.6 	6.5 	6.1 	5.6 	5.2 	6.6 	7.0 	5.9 	5.9 	5.3 	6.2 	6.5 	5.7 	7.3 	7.1 	6.6 	7.4 	7.6 	6.7 	4.2 	5.0 
RTG,TOTAL,OTHTST,T,Y_GE16,2013	5.8 	5.8 	5.7 	4.2 	5.3 	8.3 	5.5 	5.8 	6.4 	5.3 	6.3 	5.0 	5.1 	5.7 	4.5 	6.5 	6.1 	5.5 	5.3 	6.2 	6.9 	5.9 	6.0 	5.3 	6.4 	6.5 	5.8 	7.4 	6.9 	6.1 	7.0 	7.3 	6.4 	4.2 	4.5 
RTG,TOTAL,OTHTST,T,Y_GE75,2013	5.9 	5.9 	6.0 	4.0 	5.3 	8.3 	6.1 	5.7 	6.7 	4.9 	6.3 	5.0 	5.1 	5.5 	4.8 	6.5 	6.0 	5.8 	5.4 	6.9 	7.0 	5.6 	6.0 	5.4 	6.1 	6.5 	5.7 	7.4 	7.0 	6.8 	7.9 	7.6 	6.9 	4.4 	5.2 
RTG,TOTAL,PLCTST,F,Y16-24,2013	5.8 	5.8 	6.1 	3.9 	5.5 	7.4 	6.2 	6.2 	6.2 	4.7 	5.0 	5.2 	: 	5.3 	4.5 	5.9 	6.4 	6.0 	5.8 	6.0 	7.0 	7.1 	5.4 	5.5 	6.7 	5.7 	4.7 	8.1 	7.1 	6.3 	7.6 	7.7 	7.1 	4.4 	6.6 
RTG,TOTAL,PLCTST,F,Y25-34,2013	5.8 	5.8 	6.0 	3.6 	5.2 	7.8 	6.2 	6.4 	6.6 	4.9 	5.2 	5.5 	: 	5.3 	4.5 	5.8 	6.0 	6.3 	5.8 	6.2 	6.6 	7.1 	5.2 	5.2 	6.5 	5.6 	4.5 	8.2 	7.3 	6.6 	7.6 	7.5 	7.5 	4.1 	6.5 
RTG,TOTAL,PLCTST,F,Y35-49,2013	5.9 	5.9 	6.2 	3.7 	4.9 	8.0 	6.2 	6.1 	6.8 	4.9 	5.5 	5.5 	: 	5.8 	4.5 	5.5 	6.0 	6.0 	5.7 	6.3 	6.7 	7.1 	5.3 	5.3 	6.4 	5.5 	4.4 	8.3 	7.3 	6.5 	7.6 	7.6 	7.4 	4.1 	6.6 
RTG,TOTAL,PLCTST,F,Y50-64,2013	5.9 	5.9 	5.9 	3.6 	4.8 	8.1 	6.1 	5.9 	6.9 	5.0 	5.6 	5.5 	: 	5.8 	4.9 	5.3 	5.9 	6.0 	5.6 	6.3 	6.6 	7.2 	5.2 	5.3 	6.3 	5.7 	4.3 	8.2 	7.2 	6.4 	7.9 	7.7 	7.4 	4.2 	6.7 
RTG,TOTAL,PLCTST,F,Y65-74,2013	6.2 	6.2 	6.2 	3.6 	4.9 	8.2 	6.6 	6.0 	7.6 	5.4 	6.0 	5.9 	: 	6.2 	5.1 	5.5 	6.1 	5.9 	5.9 	6.9 	6.7 	7.5 	5.4 	5.8 	6.3 	5.9 	4.8 	8.4 	7.2 	6.7 	7.9 	7.7 	7.5 	4.9 	7.0 
RTG,TOTAL,PLCTST,F,Y_GE16,2013	6.0 	6.0 	6.1 	3.6 	5.0 	8.0 	6.3 	6.1 	7.0 	5.0 	5.5 	5.6 	: 	5.8 	4.7 	5.6 	6.0 	6.1 	5.8 	6.4 	6.7 	7.2 	5.3 	5.4 	6.4 	5.7 	4.5 	8.3 	7.3 	6.6 	7.8 	7.7 	7.5 	4.4 	6.7 
RTG,TOTAL,PLCTST,F,Y_GE75,2013	6.4 	6.4 	6.4 	3.7 	5.4 	8.2 	7.0 	6.4 	8.1 	5.5 	5.9 	6.2 	: 	6.1 	5.5 	5.8 	6.2 	6.4 	6.1 	6.8 	7.0 	7.6 	5.8 	5.8 	6.3 	5.9 	4.6 	8.5 	7.7 	7.2 	8.5 	7.9 	8.0 	5.0 	7.2 
RTG,TOTAL,PLCTST,M,Y16-24,2013	5.6 	5.6 	6.0 	3.4 	4.9 	7.3 	6.0 	5.8 	5.9 	4.5 	4.7 	5.0 	: 	5.5 	4.2 	5.4 	6.2 	5.5 	5.6 	5.8 	6.2 	6.9 	4.8 	5.5 	6.4 	5.2 	4.4 	8.1 	7.0 	6.1 	7.2 	7.2 	6.7 	4.0 	6.0 
RTG,TOTAL,PLCTST,M,Y25-34,2013	5.6 	5.6 	5.9 	3.5 	5.0 	7.7 	6.0 	6.4 	6.5 	4.4 	4.9 	5.5 	: 	5.3 	4.1 	5.4 	5.8 	6.4 	5.6 	6.0 	6.4 	6.8 	5.0 	5.2 	6.5 	5.2 	4.1 	8.0 	6.9 	6.3 	7.2 	7.0 	7.0 	4.0 	6.0 
RTG,TOTAL,PLCTST,M,Y35-49,2013	5.9 	5.9 	6.2 	3.7 	4.9 	7.8 	6.4 	5.9 	7.0 	4.9 	5.3 	5.6 	: 	5.8 	4.7 	5.2 	5.7 	6.0 	5.5 	6.2 	6.5 	7.0 	5.1 	5.3 	6.4 	5.4 	4.2 	8.1 	7.0 	6.3 	7.8 	7.3 	7.4 	4.0 	6.4 
RTG,TOTAL,PLCTST,M,Y50-64,2013	5.9 	5.9 	6.0 	3.6 	4.5 	7.8 	6.3 	5.6 	6.9 	5.0 	5.6 	5.6 	: 	6.0 	4.6 	5.0 	5.5 	5.9 	5.4 	6.0 	6.5 	7.2 	5.0 	5.3 	6.3 	5.3 	4.1 	8.1 	6.7 	6.2 	7.7 	7.4 	7.4 	4.1 	6.5 
RTG,TOTAL,PLCTST,M,Y65-74,2013	6.2 	6.2 	6.0 	3.6 	4.6 	8.1 	6.7 	5.8 	7.3 	5.2 	6.0 	5.9 	: 	6.3 	5.1 	5.3 	6.1 	6.0 	5.7 	6.6 	6.5 	7.2 	5.3 	5.5 	6.2 	5.7 	4.3 	8.3 	6.7 	6.2 	8.2 	7.3 	7.6 	4.5 	6.7 
RTG,TOTAL,PLCTST,M,Y_GE16,2013	5.9 	5.9 	6.1 	3.6 	4.8 	7.8 	6.4 	5.9 	6.9 	4.9 	5.4 	5.7 	: 	5.9 	4.6 	5.3 	5.8 	6.0 	5.6 	6.2 	6.5 	7.1 	5.0 	5.4 	6.3 	5.4 	4.2 	8.1 	6.9 	6.3 	7.6 	7.3 	7.3 	4.2 	6.3 
